x_val,y_added,y_removed,y_combined
0,6,3,7
1,2,0,2
4,1,2,1
12,1,1,1
26,1,1,1
36,1,1,1
52,1,1,1
81,1,1,1
11,1,0,1
14,1,0,1
17,0,1,1
416,1,0,1
42,0,1,1
944,1,0,1
60,1,0,1
61,0,1,1
603,0,1,1
93,1,0,1
95,1,0,1
223,1,0,1
868,0,1,1
-16,1,0,1
116,0,1,1
-10,1,0,1
251,1,0,1
507,0,1,1
258,0,0,1
3,0,0,1
137,1,0,0
138,1,0,0
19,0,0,1
22,0,0,1
929,1,0,0
163,0,0,1
1064,0,1,0
304,1,0,0
182,1,0,0
63,0,1,0
579,0,1,0
1110,1,0,0
224,0,1,0
358,0,1,0
107,0,1,0
120,0,0,1
