x_val,y_added,y_removed,y_combined
l < (int)buf.capacity(),5,5,10
l >= 0,5,5,10
"(buf_cnt == 0) && ""string_formatter: buffer is reused!""",4,4,8
encoding,4,3,7
"(cur_fv == NULL) && ""Previous font is not destroyed""",3,1,4
font->fv,2,1,3
"(buf_cnt == 0) && ""StringFormatter: buffer is reused!""",1,1,2
font_info->em_size != 0,1,1,2
