x_val,y_added,y_removed,y_combined
memcache_retrieval(r),1,0,1
r->mlen == mbuf_length(mbuf),1,0,1
"msg->request && req_done(conn, msg)",1,0,1
array_n(a) != 0,1,0,1
msg != NULL && conn->smsg == NULL,1,0,1
"pos[1] == ','",1,0,1
pmsg != NULL && pmsg->peer == NULL,1,0,1
pmsg->peer == msg,1,0,1
!msg->quit && !msg->noreply,1,0,1
mbuf->pos < mbuf->last,1,0,1
TAILQ_EMPTY(&send_msgq),1,0,1
STAILQ_EMPTY(&msg->mhdr),1,0,1
pos[1] == ' ',1,0,1
st->buf.data != NULL,1,0,1
pos >= mbuf->pos && pos <= mbuf->last,1,0,1
msg->owner != conn,1,0,1
sig->signo != 0,1,0,1
cf->valid_parser && !cf->valid_token,1,0,1
r->request && (r->frag_owner == r),1,0,1
st->buf.data == NULL && st->buf.size == 0,1,0,1
pr->type == MSG_REQ_REDIS_MGET,1,0,1
memcache_storage(r) || memcache_arithmetic(r) || memcache_delete(r) || memcache_touch(r),1,0,1
array_n(r->keys) == (r->narg - 1) / key_step,1,0,1
nc_valid_port(port),1,0,1
evb->ep > 0,1,0,1
TAILQ_EMPTY(&sp->c_conn_q) && sp->nc_conn_q == 0,1,0,1
"mbuf == STAILQ_LAST(&r->mhdr, mbuf, next)",1,0,1
!conn_authenticated(s_conn),1,0,1
!STAILQ_EMPTY(h),1,0,1
server->ns_conn_q == pool->server_connections,1,0,1
!msg->request && pmsg->request,1,0,1
nmsg->request && !nmsg->done,1,0,1
cf->sound && cf->parsed,1,0,1
r->end != NULL,1,0,1
mbuf->end >= mbuf->last,1,0,1
depth == CONF_MAX_DEPTH,1,0,1
array_n(&cf->arg) == 0,1,0,1
request->request && (request->frag_owner == request),1,0,1
pmsg->request && !pmsg->swallow,1,0,1
ptr != NULL,1,0,1
elem >= a->elem,1,0,1
TAILQ_EMPTY(&s->s_conn_q) && s->ns_conn_q == 0,1,0,1
"req_done(conn, msg->peer)",1,0,1
pmsg->peer == NULL,1,0,1
nsend != 0,1,0,1
!cf->valid,1,0,1
!cf->valid_parser,1,0,1
array_n(server) == 0,1,0,1
s != NULL,1,0,1
nfree_mbufq > 0,1,0,1
pool->continuum[pointer_index].value <= pool->continuum[pointer_index + 1].value,1,0,1
mbuf->start < mbuf->end,1,0,1
pr->type == MSG_REQ_REDIS_DEL,1,0,1
off % (uint32_t)a->size == 0,1,0,1
mbuf->last >= mbuf->pos,1,0,1
cp->valid,1,0,1
conn->sd > 0,1,0,1
array_n(sendv) > 0,1,0,1
!mbuf_full(mbuf) && n <= mbuf_size(mbuf),1,0,1
conn->connected,1,0,1
array_n(server) == nserver,1,0,1
conn->send_ready,1,0,1
nfree_mbufq == 0,1,0,1
r->narg_start == mbuf->pos,1,0,1
array_n(server_pool) == 0,1,0,1
p->proxy,1,0,1
!conn->connecting && !conn->connected,1,0,1
r->narg_start < r->narg_end,1,0,1
nfree_msgq == 0,1,0,1
idx < a->nelem,1,0,1
buf != NULL,1,0,1
stm1->type == stm2->type,1,0,1
conn->sd < 0,1,0,1
msg != NULL && conn->rmsg == msg,1,0,1
!response->request,1,0,1
!cp->valid,1,0,1
src != NULL && srclen != 0,1,0,1
!string_empty(&cp->name),1,0,1
p->sd > 0,1,0,1
nmetric == STATS_POOL_NFIELD || nmetric == STATS_SERVER_NFIELD,1,0,1
array_n(server_pool) == npool,1,0,1
conn->recv_ready,1,0,1
pool->nc_conn_q != 0,1,0,1
array_n(msg->keys) > 0,1,0,1
server->ns_conn_q != 0,1,0,1
